"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Dog API","Imagens por Raca","Buscar imagens por raca","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar headers da resposta","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar sub-racas","0","0","1","0","0"
"Dog API","Imagens por Raca","Validar estrutura da resposta","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar conteudo das racas","0","0","1","0","0"
"Dog API","Imagens por Raca","Validar performance","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar formato dos nomes das racas","0","0","1","0","0"
"Dog API","Imagens por Raca","Validar URLs das imagens","0","0","1","0","0"
"Dog API","Testes de Integracao","Validar consistencia de dados entre endpoints","0","0","1","0","0"
"Dog API","Imagens por Raca","Testar diferentes racas","0","0","1","0","0"
"Dog API","Testes de Integracao","Testar performance em sequencia","0","0","1","0","0"
"Dog API","Testes de Integracao","Comparar imagem aleatoria geral vs especifica","0","0","1","0","0"
"Dog API","Imagens por Raca","Testar raca inexistente","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar estrutura da resposta","0","0","1","0","0"
"Dog API","Testes de Integracao","Validar tipos de conteudo","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar aleatoriedade","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar URL da imagem","0","0","1","0","0"
"Dog API","Testes de Integracao","Testar robustez da API","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar performance","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar multiplas imagens por raca","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar performance","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Buscar imagem aleatoria","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Testar limite de multiplas imagens","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar estrutura da resposta","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar headers da resposta","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Validar multiplas imagens aleatorias","0","0","1","0","0"
"Dog API","Listagem de Racas","Buscar todas as racas","0","0","1","0","0"
"Dog API","Testes de Integracao","Fluxo completo: Lista -> Seleciona -> Busca imagens","0","0","1","0","0"
"Dog API","Listagem de Racas","Validar consistencia dos dados","0","0","1","0","0"
"Dog API","Imagens Aleatorias","Buscar imagem aleatoria por raca","0","0","1","0","0"
